wl	n	k
300	2,126656	2,253088
310	2,254542	2,290011
320	2,384725	2,31711
330	2,51627	2,334043
340	2,648142	2,340585
350	2,779233	2,336655
360	2,908393	2,322342
370	3,034467	2,297917
380	3,156336	2,26384
390	3,272959	2,220746
400	3,383414	2,169431
410	3,486929	2,110821
420	3,5829	2,045932
430	3,670909	1,975837
440	3,750721	1,901618
450	3,822273	1,824332
460	3,885658	1,744983
470	3,941105	1,664492
480	3,988947	1,583688
490	4,029598	1,503289
500	4,063531	1,423909
510	4,091249	1,346054
520	4,11327	1,270132
530	4,130111	1,196459
540	4,142275	1,125271
550	4,150245	1,056735
560	4,154473	0,990959
570	4,155381	0,928
580	4,153357	0,867876
590	4,148757	0,810574
600	4,141901	0,756054
610	4,133081	0,704259
620	4,122556	0,655117
630	4,11056	0,608544
640	4,0973	0,564454
650	4,08296	0,522752
660	4,067706	0,483344
670	4,051681	0,446136
680	4,035016	0,411034
690	4,017824	0,377946
700	4,000208	0,346783
710	3,982254	0,317459
720	3,964044	0,289892
730	3,945648	0,264003
740	3,927128	0,239717
750	3,908541	0,216963
760	3,889936	0,195674
770	3,871358	0,175786
780	3,852848	0,157238
790	3,834442	0,139975
800	3,816173	0,123942
810	3,798072	0,10909
820	3,780168	0,09537
830	3,762485	0,082737
840	3,745049	0,071151
850	3,727883	0,06057
860	3,71101	0,050959
870	3,694453	0,04228
880	3,678233	0,034501
890	3,662374	0,027591
900	3,646897	0,021518
910	3,631828	0,016257
920	3,617193	0,011778
930	3,603022	0,008057
940	3,589349	0,00507
950	3,576215	0,002792
960	3,563673	0,001203
970	3,551801	0,000279
980	3,540756	0
990	3,530773	0
1000	3,521546	0
1010	3,512917	0
1020	3,504798	0
1030	3,497127	0
1040	3,489857	0
1049,9999	3,482949	0
1060	3,476371	0
1070	3,470097	0
1080	3,464103	0
1090	3,458368	0
1100	3,452875	0
1110	3,447606	0
1120	3,442548	0
1130,0001	3,437687	0
1140,0001	3,433012	0
1149,9999	3,428512	0
1160	3,424176	0
1170	3,419996	0
1180,0001	3,415963	0
1190	3,412069	0
1200	3,408309	0
1210	3,404673	0
1220	3,401158	0
1230	3,397756	0
1240	3,394462	0
1250	3,391272	0
1260	3,388181	0
1270	3,385184	0
1280	3,382277	0
1290	3,379456	0
1300	3,376719	0
1310	3,37406	0
1320	3,371477	0
1330	3,368966	0
1340	3,366526	0
1350	3,364153	0
1360	3,361844	0
1370	3,359598	0
1380	3,35741	0
1390	3,355281	0
1400	3,353206	0
1410	3,351185	0
1420	3,349216	0
1430	3,347296	0
1440	3,345424	0
1450	3,343598	0
1460	3,341816	0
1470	3,340078	0
1480	3,338381	0
1490	3,336725	0
1500	3,335107	0
1510	3,333527	0
1520	3,331983	0
1530	3,330475	0
1540	3,329	0
1549,9999	3,32756	0
1560,0001	3,32615	0
1570	3,324772	0
1580	3,323424	0
1590	3,322105	0
1600	3,320815	0
1610	3,319552	0
1620	3,318315	0
1630	3,317105	0
1640	3,31592	0
1650,0001	3,314759	0
1660	3,313622	0
1670	3,312508	0
1680,0001	3,311416	0
1690,0001	3,310347	0
1700,0001	3,309298	0
1710	3,30827	0
1720	3,307263	0
1729,9999	3,306275	0
1739,9999	3,305306	0
1750	3,304355	0
1760	3,303423	0
1770	3,302508	0
1779,9999	3,30161	0
1789,9999	3,300729	0
1800	3,299864	0
1810	3,299015	0
1820	3,298181	0
1830	3,297363	0
1840	3,296559	0
1850,0001	3,29577	0
1859,9999	3,294994	0
1870,0001	3,294232	0
1880,0001	3,293484	0
1889,9999	3,292749	0
1900	3,292026	0
1910	3,291316	0
1920	3,290618	0
1929,9999	3,289931	0
1940	3,289256	0
1950,0001	3,288592	0
1960	3,28794	0
1969,9999	3,287299	0
1979,9999	3,286668	0
1990	3,286047	0
1999,9999	3,285436	0

