wl	n	k
300	1,811946	2,56219
310	1,943716	2,65026
320	2,082721	2,729483
330	2,228443	2,798892
340	2,380157	2,857497
350	2,536913	2,904336
360	2,697527	2,938536
370	2,86059	2,959382
380	3,024497	2,966379
390	3,187501	2,959317
400	3,347778	2,938311
410	3,503514	2,903822
420	3,652998	2,856656
430	3,794696	2,797928
440	3,927337	2,729005
450	4,049948	2,651432
460	4,161884	2,56685
470	4,262825	2,47691
480	4,352748	2,383207
490	4,431891	2,287213
500	4,500696	2,190248
510	4,559764	2,093446
520	4,609797	1,997758
530	4,651555	1,903947
540	4,685823	1,812608
550	4,713375	1,724181
560	4,734956	1,638976
570	4,751268	1,557191
580	4,76296	1,478934
590	4,770623	1,40424
600	4,774792	1,333089
610	4,775943	1,265416
620	4,774499	1,201127
630	4,770834	1,140106
640	4,765275	1,08222
650	4,758109	1,027329
660	4,749584	0,975289
670	4,739918	0,925956
680	4,729297	0,879184
690	4,717885	0,834834
700	4,705821	0,792771
710	4,693227	0,752865
720	4,680207	0,714993
730	4,666851	0,679037
740	4,653234	0,644886
750	4,639425	0,612437
760	4,62548	0,581592
770	4,611447	0,552259
780	4,597368	0,524352
790	4,583278	0,497791
800	4,569208	0,4725
810	4,555184	0,44841
820	4,541228	0,425455
830	4,527358	0,403573
840	4,51359	0,382709
850	4,499937	0,362807
860	4,48641	0,343819
870	4,473018	0,325698
880	4,459768	0,3084
890	4,446668	0,291885
900	4,433722	0,276114
910	4,420934	0,261051
920	4,408307	0,246664
930	4,395843	0,232921
940	4,383545	0,219792
950	4,371413	0,20725
960	4,359448	0,195269
970	4,347651	0,183825
980	4,336022	0,172894
990	4,324561	0,162456
1000	4,313266	0,152489
1010	4,302138	0,142975
1020	4,291177	0,133895
1030	4,28038	0,125233
1040	4,269746	0,116972
1049,9999	4,259276	0,109098
1060	4,248968	0,101595
1070	4,23882	0,094451
1080	4,228832	0,087651
1090	4,219004	0,081185
1100	4,209332	0,07504
1110	4,199817	0,069206
1120	4,190458	0,063671
1130,0001	4,181254	0,058427
1140,0001	4,172203	0,053463
1149,9999	4,163306	0,04877
1160	4,15456	0,04434
1170	4,145967	0,040165
1180,0001	4,137524	0,036237
1190	4,129232	0,032548
1200	4,12109	0,029092
1210	4,113099	0,025861
1220	4,105257	0,02285
1230	4,097565	0,020051
1240	4,090024	0,017459
1250	4,082632	0,015068
1260	4,075392	0,012873
1270	4,068305	0,010868
1280	4,061369	0,009049
1290	4,054588	0,00741
1300	4,047963	0,005947
1310	4,041497	0,004655
1320	4,03519	0,00353
1330	4,029048	0,002568
1340	4,023074	0,001765
1350	4,017273	0,001117
1360	4,011651	0,00062
1370	4,00622	0,00027
1380	4,000994	0,000065
1390	3,996005	0
1400	3,991306	0
1410	3,98683	0
1420	3,982541	0
1430	3,978417	0
1440	3,974444	0
1450	3,970609	0
1460	3,966903	0
1470	3,963318	0
1480	3,959845	0
1490	3,95648	0
1500	3,953216	0
1510	3,950048	0
1520	3,94697	0
1530	3,943979	0
1540	3,941071	0
1549,9999	3,938243	0
1560,0001	3,935489	0
1570	3,932809	0
1580	3,930197	0
1590	3,927652	0
1600	3,925171	0
1610	3,922752	0
1620	3,920392	0
1630	3,918089	0
1640	3,915842	0
1650,0001	3,913646	0
1660	3,911503	0
1670	3,909409	0
1680,0001	3,907362	0
1690,0001	3,905361	0
1700,0001	3,903405	0
1710	3,901492	0
1720	3,899621	0
1729,9999	3,89779	0
1739,9999	3,895998	0
1750	3,894245	0
1760	3,892528	0
1770	3,890846	0
1779,9999	3,8892	0
1789,9999	3,887587	0
1800	3,886007	0
1810	3,884458	0
1820	3,88294	0
1830	3,881452	0
1840	3,879993	0
1850,0001	3,878562	0
1859,9999	3,877159	0
1870,0001	3,875782	0
1880,0001	3,874431	0
1889,9999	3,873106	0
1900	3,871805	0
1910	3,870529	0
1920	3,869276	0
1929,9999	3,868045	0
1940	3,866837	0
1950,0001	3,86565	0
1960	3,864485	0
1969,9999	3,86334	0
1979,9999	3,862215	0
1990	3,86111	0
1999,9999	3,860024	0

